word	book0	book1	book2
admiration	3	5	8
admire	0	8	5
admirer	0	1	2
admission	0	3	5
admit	2	11	15
admittance	0	1	0
admonish	0	1	1
admonition	0	0	3
admonitory	0	1	3
ado	0	0	1
adopt	0	1	5
adorable	0	1	0
adorn	0	2	0
adornment	0	1	1
adult	0	0	1
adust	0	1	0
advan	1	0	0
advance	1	16	17
advanced	3	8	12
advancement	0	0	1
advantage	0	7	13
advantageous	0	0	1
adventure	1	0	10
adventurous	0	3	0
adverbiously	0	1	0
adversary	1	0	0
adversity	0	0	1
advert	0	0	1
advertise	0	0	1
advertisement	0	0	3
advertiser	0	0	1
advice	0	7	8
advisability	0	0	1
advisable	0	1	4
advise	0	10	3
adviser	0	1	1
advocate	0	3	2
afar	0	4	0
affability	1	0	1
affable	0	0	1
affably	0	1	0
affair	0	13	9
affairs	1	0	3
affect	1	7	22
affectation	0	0	1
affectingly	0	1	0
affection	1	9	13
affectionate	1	6	6
affectionately	0	3	2
affidavit	0	1	0
affinity	0	0	1
affirm	0	0	4
affirmative	0	2	8
affix	0	0	1
afflict	0	6	1
affliction	0	3	2
afford	2	4	21
affright	0	1	1
affront	1	0	0
afire	0	1	0
afoot	0	1	0
afore	0	1	16
aforesaid	0	2	2
afraid	7	17	38
afresh	0	4	2
afternoon	10	18	5
afterwards	4	25	39
age	4	25	24
aged	2	3	3
agency	0	1	0
agent	1	2	4
aggerawayter	0	3	0
aggravate	0	1	3
aggravation	0	1	1
aghast	0	0	1
agicultooral	0	1	0
agility	1	1	3
agin	0	6	3
agitate	0	0	1
agitated	2	6	4
agitation	1	10	11
agne	0	0	5
agnes	0	0	2
ago	5	32	29
agoe	0	0	1
agonise	1	1	1
agonising	0	0	1
agony	1	7	14
agree	10	14	12
agreeable	1	9	8
agreeably	0	0	2
agreement	18	20	19
ague	0	0	1
ah	7	24	49
aha	0	1	5
ahead	0	2	3
aid	1	15	6
ailing	0	1	1
aim	0	3	6
air	19	70	73
airily	0	1	0
airs	0	0	1
airy	0	2	1
ajar	0	1	0
ak	1	0	0
akin	0	2	1
al	0	2	1
ala	0	0	2
alabaster	0	0	1
alacrity	0	1	3
alarm	3	11	28
alarmed	0	2	6
alarming	0	1	2
alarmingly	0	1	0
alas	1	2	1
albans	0	0	1
albeit	0	1	0
alcove	0	1	0
alderman	1	0	0
ale	0	3	10
alert	0	1	1
alexandre	0	6	0
ali	2	0	0
alienate	0	1	0
alight	0	7	3
align	13	4	3
alike	1	6	5
alive	5	10	25
allay	0	0	3
alleviate	0	0	1
alley	1	2	6
allot	0	0	1
allow	5	11	15
allowable	0	0	1
allowance	0	1	5
allusion	0	3	3
alluvial	0	1	0
ally	0	2	0
almighty	0	0	2
almond	1	0	0
almost	5	49	70
almshouse	1	0	0
aloft	0	2	2
alone	14	54	61
along	9	43	51
aloof	0	0	1
aloud	0	8	8
alphabet	1	0	1
alphabetical	0	0	1
already	4	42	46
also	9	30	20
altar	1	3	1
alter	2	7	10
alteration	3	2	3
alterations	0	0	1
altercation	0	1	1
altered	0	2	0
alternate	1	2	3
alternately	0	0	4
alternation	0	0	1
alternative	0	0	4
although	6	17	52
altitude	0	1	0
altogether	1	13	7
always	18	106	57
amazed	1	3	2
amazement	0	3	7
amazingly	0	1	1
ambassador	0	1	0
ambition	0	4	1
ambitious	0	0	2
ambuscade	0	1	0
amen	0	0	1
amend	2	3	1
amendment	0	1	1
america	0	3	0
americans	0	1	0
amiability	0	0	1
amiable	0	2	9
amiably	0	1	0
amicably	0	1	1
amid	0	0	2
amidst	0	3	3
amiss	0	2	1
ammunition	0	1	0
among	16	107	57
amongst	2	0	3
amorous	0	0	1
amount	0	1	7
amphitheatre	0	0	1
ample	1	1	1
amselle	0	1	0
amuse	0	3	5
amused	0	0	1
amusement	0	0	7
amusing	0	0	1
analyse	0	1	0
anathematise	0	1	0
anatomise	0	1	0
ancestor	1	1	0
ancestral	0	1	0
anchor	0	1	0
anchorage	0	1	0
ancient	5	10	1
anciently	0	0	1
andrew	0	0	1
anew	0	7	1
angel	2	6	11
angelic	1	0	0
anger	0	7	6
angle	0	3	6
angrily	0	3	9
angry	5	15	14
anguish	0	4	5
animal	5	3	12
animate	0	4	5
animated	0	1	0
animation	0	0	1
animosity	0	2	1
aniseed	0	1	0
ankle	2	1	1
anna	0	1	0
annihilate	0	1	0
annihilation	0	1	0
anniversary	0	1	0
anno	0	1	0
announce	1	5	10
announcement	1	2	0
annoy	0	1	1
annoyance	0	0	2
annoyed	0	1	0
annoying	0	0	1
annuity	0	0	1
anny	0	0	1
anoint	0	0	1
anon	0	1	1
anonymous	1	0	0
another	35	135	124
answer	19	116	58
answered	0	1	0
antagonist	0	0	1
ante	0	1	2
antecedent	0	2	0
anteroom	0	0	1
anti	0	1	1
antic	0	0	1
anticipate	0	6	5
anticipation	0	2	2
antimonial	0	0	1
antipathy	0	2	1
antique	1	0	0
antiquity	0	5	0
antoine	0	52	0
anxiety	0	9	15
anxious	2	16	25
anxiously	1	2	10
anybody	6	13	22
anyhow	0	0	1
anyone	5	5	5
anythe	1	0	0
anything	19	57	78
anythink	0	0	1
anyway	1	0	1
anyways	0	1	0
anywhere	3	6	5
ap	0	0	1
apace	0	0	1
apart	3	16	6
apartment	0	5	14
aperture	0	0	5
aphorism	0	1	0
apiece	0	0	1
apocryphal	0	1	0
apologetic	0	1	0
apology	0	1	2
apoplectic	1	0	0
apostle	1	0	0
apostrophe	0	1	1
apostrophise	0	2	0
apothecary	0	0	5
appal	1	0	1
appalling	1	0	1
apparatus	0	1	1
apparel	1	0	2
apparent	0	4	3
apparently	1	6	17
apparition	3	4	1
appeal	1	13	13
appealed	0	0	1
appealing	0	0	1
appear	20	36	80
appearance	3	30	54
appellation	0	1	0
appendage	0	0	1
appertain	0	0	1
appertaining	0	0	2
appetite	2	0	7
applaud	1	1	0
applause	0	1	2
apple	5	2	1
applicable	3	3	3
applicant	0	0	1
application	0	3	8
applie	0	1	0
apply	5	2	18
appoint	0	9	3
appointment	0	3	6
appraise	1	0	0
appreciate	0	2	1
appreciation	0	0	1
appreciative	0	2	0
apprehend	0	2	5
apprehended	0	0	1
apprehending	0	0	1
apprehension	0	7	7
apprehensive	1	1	0
apprehensively	0	0	3
apprentice	4	0	9
apprenticeship	0	0	1
apprise	0	1	0
approach	5	15	18
approbation	0	1	1
appropriate	1	1	8
approval	0	3	6
approve	1	4	4
approver	0	0	1
approvingly	0	2	6
apron	1	0	11
aps	0	0	1
apt	0	0	1
aquiline	0	3	0
aquirement	0	0	1
ar	0	0	1
arabian	0	1	0
arbitrary	0	0	1
arch	0	3	2
arched	0	2	0
architecture	0	3	0
archive	13	13	13
archway	1	0	3
ardent	0	3	3
ardently	0	0	1
ardour	0	2	2
area	0	1	3
argue	0	3	1
argument	0	1	5
argumentative	0	1	0
aright	0	0	2
arise	2	25	9
arisen	0	2	1
aristocrat	0	12	0
aristocratic	0	3	0
arithmetical	0	0	1
arm	14	116	87
armed	0	12	0
armorial	0	1	0
armoury	0	1	0
arms	0	1	1
army	0	3	0
aromatic	1	0	0
arose	0	0	1
around	2	19	9
arouse	0	1	2
arraign	0	1	0
arrange	0	7	9
arrangement	0	16	5
array	2	1	2
arrear	0	1	1
arrest	0	7	0
arrival	1	7	7
arrive	1	21	34
arrow	0	0	1
art	0	10	4
arter	0	0	8
arterward	0	0	1
artful	2	1	24
artfull	0	0	1
arthur	3	0	0
article	0	7	18
articulate	0	1	3
artifice	1	0	0
artificial	1	0	1
artificially	0	1	0
artist	0	0	1
artless	0	1	1
ascend	0	8	7
ascended	0	0	1
ascent	0	1	0
ascertain	0	5	12
ascii	2	2	2
ash	0	1	1
ashame	0	1	2
ashamed	1	3	2
ashantee	0	1	0
ashe	0	7	2
ashy	0	2	3
aside	3	23	15
ask	27	158	143
askance	0	0	1
asked	0	0	1
asleep	2	21	18
aspect	0	17	11
asperity	0	0	2
aspiration	1	2	0
aspire	0	1	0
ass	2	0	4
assail	0	0	2
assailant	0	1	1
assailed	0	0	1
assassin	0	1	1
assassinate	0	1	0
assassination	0	1	0
assault	0	1	2
assemblage	0	2	1
assemble	3	3	5
assembled	0	1	0
assembling	0	0	1
assent	0	0	6
assented	0	5	0
assert	0	3	2
asserted	0	1	1
assertion	0	1	1
asseveration	0	1	2
assiduity	0	0	2
assiduously	0	1	1
assign	2	2	3
assignation	0	1	0
assist	3	18	8
assistance	1	6	16
assistant	0	0	7
assisting	0	1	1
associate	8	11	23
associated	1	1	1
association	0	11	2
assort	0	1	0
assorted	0	0	1
assume	0	7	14
assumption	0	2	2
assurance	0	4	11
assure	5	11	11
assured	0	0	1
assuredly	0	3	1
assuring	0	0	1
astern	0	1	0
astir	0	1	0
astonish	2	1	6
astonished	0	1	2
astonishment	3	3	20
astound	0	1	0
astounded	0	1	1
astounding	0	1	0
astray	0	1	0
asunder	0	1	2
asylum	0	0	1
atheistical	0	1	0
athirst	0	1	0
atmosphere	2	3	4
atmospheric	0	1	0
atom	2	0	0
atomic	0	1	0
atonement	0	1	1
atones	0	0	2
atop	0	1	0
atrocious	0	1	1
atrociously	0	0	1
atrocity	0	0	1
attach	4	10	14
attachment	0	4	8
attack	0	3	4
attain	0	1	6
attainable	0	1	0
attainment	0	1	0
attempt	0	6	27
attend	1	15	11
attendance	0	3	5
attendant	0	6	8
attention	2	20	35
attentive	0	6	4
attentively	1	5	6
attenuate	0	1	1
attesting	0	0	1
attire	2	0	6
attitude	5	9	17
attorney	0	14	1
attract	1	9	13
attraction	0	3	1
attractive	1	1	1
attributable	0	1	0
attribute	0	1	3
audacious	0	0	1
audible	0	9	9
audibly	0	2	0
audience	0	7	2
auditor	0	0	1
auditory	0	1	0
aught	1	0	2
augment	0	1	0
augury	0	0	1
august	0	3	0
aulnais	0	1	0
aunt	1	0	18
auspicious	0	1	1
author	2	1	5
authorise	0	1	0
authoritative	0	1	0
authority	1	13	15
authorship	0	0	1
auto	7	1	0
autumn	0	3	1
avail	0	3	5
available	2	2	2
avarice	2	0	0
avaricious	0	0	2
avenge	0	4	1
avenue	0	4	1
averse	0	0	1
aversion	0	1	1
avert	0	2	3
avidity	0	0	2
avocation	0	1	1
avocations	0	0	1
avoid	1	12	7
avoidance	0	1	0
avow	0	1	1
avowal	0	1	3
await	0	12	4
awake	4	11	16
awaken	0	8	22
awakening	0	1	2
aware	0	3	3
awaricious	0	1	0
away	24	137	192
awe	0	3	6
awed	0	0	1
aweer	0	0	1
awful	3	8	5
awfulness	0	1	1
awhile	0	0	1
awkward	0	1	2
awkwardly	1	0	0
awkwardness	0	0	2
awoke	0	1	3
awry	0	2	0
axe	1	10	0
axiom	0	0	1
axis	0	2	0
ay	0	5	11
aye	0	0	4
b	4	3	8
baba	2	0	0
babble	0	1	1
babe	0	0	2
babel	0	1	0
baby	5	6	2
bacchanalian	0	2	0
bachelor	2	7	5
back	29	138	261
backgammon	0	1	0
background	1	2	1
backward	1	2	4
backwards	0	3	2
bacon	0	0	2
bad	9	77	77
bade	2	0	5
badge	0	0	2
badger	0	0	1
badly	1	0	2
baffle	0	1	1
baffled	0	1	0
bag	2	2	11
bah	2	3	3
bail	0	0	2
bailey	0	20	1
bailiff	0	1	0
bait	0	0	2
bake	1	0	0
baker	7	3	1
balance	1	2	5
balanced	0	1	0
bald	0	1	1
baleful	1	0	0
ball	3	7	3
ballad	0	1	1
ballast	0	0	1
balmy	0	0	1
balustrade	0	1	1
balustrades	1	1	0
bamboo	0	0	2
band	0	1	2
bandage	2	1	3
bang	1	0	0
banish	0	3	0
bank	0	54	15
banker	1	4	1
bankers	0	1	0
banking	0	11	0
bankrupt	0	0	1
bankruptcy	0	1	0
banquet	0	1	1
banter	0	0	1
bantered	0	0	1
baptize	0	0	1
bar	3	42	25
barbarian	0	1	0
barbarous	0	4	0
barber	0	5	1
barbican	0	0	1
bare	6	14	11
barefoot	0	1	1
bareheade	0	1	0
barely	1	1	1
bareness	1	0	0
barer	1	0	0
bargain	2	3	6
barge	0	1	0
bark	0	2	7
barker	0	0	2
barkers	0	0	1
barmecide	0	1	0
barnet	0	0	2
barney	0	0	33
baron	0	0	1
barrel	1	3	3
barren	1	2	0
barricade	0	1	0
barrier	0	18	2
barrister	0	2	0
barsad	0	45	0
bartlemy	0	0	1
base	3	4	3
basement	0	1	0
baseness	0	1	0
bashful	0	0	1
bashfully	0	0	2
basin	1	7	8
bask	1	0	1
basket	3	6	10
bass	1	0	0
bastard	0	0	1
bastille	0	22	0
batch	0	2	0
bate	0	0	74
bates	0	0	20
bath	0	1	0
bathe	0	1	1
batter	0	1	0
battery	0	0	1
battle	1	1	1
battlebridge	0	0	1
battledore	0	0	1
bawl	0	2	1
bawled	0	0	1
bay	0	2	0
bayonet	0	3	0
bayton	0	0	1
bb	1	0	0
bbox	1	0	0
beach	0	5	0
beacon	0	1	0
beadle	0	0	98
beadlehood	0	0	1
beadleship	0	0	1
beak	0	0	5
beaks	0	0	1
beam	2	3	8
beamingly	0	1	0
bean	0	1	0
bear	14	59	71
beard	0	4	9
bearded	0	1	0
bearer	1	5	5
bearing	0	2	2
beast	0	7	5
beastly	0	1	0
beat	6	25	33
beating	0	1	1
beau	0	0	1
beautiful	2	14	23
beautifully	0	1	1
beautify	0	1	0
beautifying	0	1	0
beauty	0	10	11
beauvais	0	12	0
beaver	0	0	1
became	1	5	0
beck	0	0	1
beckon	1	6	9
becky	0	0	1
become	14	54	53
becomes	0	0	1
becoming	0	0	2
becomingly	0	1	0
bed	35	54	64
bedight	1	0	0
bedlam	1	1	0
bedpost	2	0	0
bedroom	2	7	5
bedside	0	2	10
bedstead	0	0	4
bedwin	0	0	28
beef	2	0	4
beer	1	4	20
beery	0	1	0
beetling	1	0	0
befall	0	1	2
befit	0	1	2
beforehand	1	4	0
befriend	0	1	0
beg	3	10	26
began	0	1	0
beget	0	0	1
beggar	3	1	1
begged	0	0	1
begin	15	71	80
beginner	0	0	1
beginning	0	6	2
begirt	0	1	0
begrime	0	1	0
begrimed	0	1	0
beguile	1	3	1
beguiling	0	0	1
begun	0	1	0
behalf	0	2	9
behave	1	0	3
behaviour	0	0	15
behead	0	2	0
beheld	2	4	3
behind	18	54	70
behindhand	1	0	1
behold	3	4	9
behold12	1	0	0
beholder	0	3	2
behoved	0	1	0
being	2	1	1
belate	0	1	0
belcher	0	0	1
belief	1	6	6
believe	21	54	34
believeth	0	6	0
belinda	4	0	0
bell	18	25	24
belle	2	0	0
belligerent	0	1	0
bellow	0	0	6
belly	1	0	0
belong	4	13	13
belove	0	1	0
beloved	0	4	1
belowto	1	0	0
belshazzar	1	0	0
belt	3	1	0
ben	0	0	2
bench	0	27	12
bend	1	9	16
bended	0	0	1
beneath	6	5	28
benefactor	0	2	4
benefactress	0	0	1
beneficial	0	2	1
benefit	1	1	9
benefits	0	0	1
benevolence	3	1	3
benevolent	0	1	5
benighted	0	1	0
benignly	0	0	1
bent	2	23	10
benumb	0	1	0
bequeath	0	0	1
bereft	1	2	2
berry	3	0	0
beseech	1	1	1
beseeching	1	0	0
beseechingly	0	0	1
beset	0	1	0
besetting	0	1	0
beside	10	21	13
besides	1	18	30
besiege	0	1	0
besmear	0	1	1
besmirch	0	1	0
besought	1	4	1
bespatter	0	1	0
bespeak	0	0	3
bespoke	0	0	1
besprinkled	0	0	1
bestow	3	10	24
bestowal	0	1	1
bestowing	0	0	1
bestrew	0	1	0
bestrewn	0	1	0
bet	0	0	8
betake	0	0	1
bethink	0	3	2
bethnal	0	0	3
betime	0	1	1
betoken	0	0	2
betook	0	1	2
betray	0	1	6
betrayed	0	0	1
betroth	0	1	0
betrothal	0	1	0
betsy	0	0	6
better	0	0	2
betwixt	0	1	2
bewail	0	0	5
bewailing	0	0	1
beware	2	1	0
bewilder	0	0	2
bewildered	0	4	7
bewildering	1	1	1
bewilderment	0	2	0
beyond	10	28	23
bi	0	0	1
bible	0	0	1
bid	1	7	16
bidding	0	0	5
bide	1	1	1
biffins	1	0	0
big	2	3	10
bigotry	1	0	0
biling	0	0	1
bilious	1	0	0
bill	1	1	105
billet	0	3	0
billow	0	1	0
billowy	0	1	0
binary	1	1	1
bind	8	21	13
biographer	0	0	1
biography	0	0	1
bird	3	13	9
birds	0	1	0
birmingham	0	0	2
birth	0	4	20
birthday	0	3	2
birthplace	0	0	1
bishop	1	0	2
bisness	0	0	1
biss	0	0	1
bistake	0	0	1
bister	0	0	2
bit	2	5	25
bite	3	6	5
bits	0	0	1
bitter	1	5	9
bitterer	1	0	0
bitterest	0	0	1
bitterly	0	5	6
bitterness	0	1	3
bl	1	4	0
blab	0	0	4
black	15	38	35
blacken	0	2	6
blackened	0	2	0
blacker	1	0	0
blackguard	0	1	0
blackhearte	0	0	1
blackheath	0	1	0
blackin	0	0	1
blacksmith	0	2	0
blade	0	5	0
blame	1	0	1
blameless	0	2	0
blanch	0	0	1
blandly	0	0	1
blandness	0	0	1
blank	2	9	7
blanket	2	0	3
blare	0	1	0
blaspheme	0	0	1
blasphemed	0	0	1
blasphemous	0	1	0
blasphemy	0	0	1
blast	0	1	0
blatant	0	1	0
blather	0	0	36
blaze	6	11	5
ble	0	0	1
bleak	3	0	2
bleating	0	0	1
bleed	0	3	4
bleeding	0	2	0
blend	1	2	1
blended	0	0	1
blending	0	1	0
blenkinship	2	0	0
bles	1	0	1
bless	17	23	38
blessing	2	8	2
blessings	0	0	1
blest	0	1	0
blight	0	4	5
blind	9	14	14
blinder	0	1	1
blindfold	1	0	0
blindly	0	2	0
blindness	0	2	2
blink	0	1	1
bliss	0	2	0
blithe	3	0	0
blithesome	0	0	1
bloated	0	5	0
block	3	1	2
blockout	1	0	0
blockquot	1	0	0
blood	5	35	41
blooded	1	0	0
bloodless	0	1	1
bloodshed	0	2	1
bloodshot	0	0	1
bloodthirsty	1	0	0
bloody	0	4	1
bloom	2	4	6
blooming	0	1	0
blossom	0	1	2
blot	1	4	2
blotch	1	0	0
blotted	0	0	1
blouse	0	1	0
blow	2	19	41
blowing	0	1	0
blubber	0	0	2
blubbering	0	0	1
blucher	0	0	1
bludgeon	0	0	1
blue	1	25	13
bluff	0	1	3
bluish	0	0	1
blunder	0	0	2
blunderbuss	0	5	1
blunt	1	1	4
blur	0	1	0
blush	3	1	6
blushed	1	0	0
boar	0	2	0
board	3	12	54
boarding	1	0	1
boast	2	1	2
boastful	0	3	0
boastfully	0	1	0
boastfulness	0	1	0
boasting	0	1	0
boat	1	4	2
bob	58	0	1
bode	0	1	1
bodied	0	2	0
bodily	0	3	1
body	7	29	42
bodyguard	0	1	0
boil	4	2	3
boiling	0	4	1
boisterous	3	0	5
bold	5	7	7
bolder	0	0	1
boldest	0	0	1
boldface	0	1	0
boldly	1	1	5
boldness	0	0	1
bolt	1	1	8
bolter	0	0	45
bombazeen	0	0	1
bond	0	2	1
bondage	0	0	1
bone	6	3	5
boned	0	0	1
bonfire	0	1	0
bonnet	2	4	10
bony	0	2	4
book	7	23	70
books	0	1	1
bookseller	0	0	1
bookstall	0	0	2
boom	0	1	1
booming	1	0	0
boot	3	19	23
booted	1	2	0
bootless	0	1	0
booty	0	0	2
bordeaux	0	1	0
border	9	1	2
bore	4	10	10
borne	1	1	1
borough	1	0	1
borrow	0	2	0
bosom	0	18	10
bosoms	0	0	1
boss	0	1	0
botanical	0	0	1
bother	1	0	1
botheration	0	2	0
bottle	2	9	24
bottom	7	5	18
bough	1	0	1
boulogne	0	1	0
bounce	0	0	1
bounceably	0	0	1
bound	1	1	7
boundary	0	1	1
boundless	0	1	0
bourne	0	0	1
bow	3	16	27
bowed	0	0	1
bowel	2	0	0
bowl	3	4	3
box	6	13	30
boxes	0	1	0
boy	40	48	382
boyish	0	0	1
br	1	0	0
braced	0	1	0
bracelet	0	0	1
braid	1	0	1
brain	0	5	11
brake	0	0	1
bran	1	0	2
branch	2	4	5
brand	0	2	0
branding	0	0	1
brandish	0	0	1
brandy	1	7	4
brass	0	0	3
brat	0	0	3
brave	3	9	5
bravely	0	1	1
bravery	0	1	1
bravo	0	1	0
brawling	0	1	1
brawn	2	0	0
brawny	0	1	1
brazen	0	1	2
brazi	1	0	0
breach	3	2	2
bread	0	19	27
breadless	0	1	0
breadth	1	6	0
break	9	48	57
breaker	0	0	2
breakfast	0	17	21
breakfasting	0	0	1
breaking	0	1	0
breast	5	57	23
breath	8	21	34
breathe	0	8	12
breathed	0	0	1
breathing	0	10	0
breathless	2	5	13
breathlessness	0	0	1
bred	1	0	0
breeche	1	2	11
breeches	0	0	1
breed	1	5	4
breeding	0	3	1
breezy	1	0	0
brentford	0	0	1
brevity	0	1	0
brew	1	0	0
brewery	0	1	2
brewing	0	0	1
bri	0	0	1
bribe	0	0	1
brick	2	3	7
bricke	0	0	1
bride	0	3	1
bridegroom	0	1	0
bridesmaid	0	1	0
bridewell	0	0	1
bridge	1	5	27
bridle	1	5	1
brief	3	6	21
briefly	1	0	3
brigand	1	1	0
bright	12	34	22
brighten	0	1	2
brightening	0	0	1
brightly	0	3	5
brightness	3	3	3
brilliant	1	1	5
brilliantly	0	2	0
brim	0	1	1
brimful	1	0	0
brimmed	0	0	1
bring	14	118	121
bringing	0	0	1
brink	0	2	5
brisk	2	3	1
briskly	2	3	4
bristled	0	1	0
bristling	1	0	0
britain	2	1	0
british	0	5	0
briton	0	2	0
brittle	0	0	55
brittles	0	0	1
broach	0	1	0
broad	3	8	7
broadcast	0	1	0
broader	0	1	0
